compa_ratio,compa_ratio_range,cost_center,country,current_rating,ethnicity,gender,generation,high_performer,high_potential,hiring_source,is_leader,is_manager,job_family_group,job_level,job_profile,length_of_service,location,management_level,region,single_job_family,tenure_category,total_compensation,age
1.545,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Asian,Female,Generation X (1965-1980),False,False,Referral,True,True,Executive,M9,Executive Management - Chief Executive Officer,26.934,San Francisco,Chief Executive Officer,AMER,Executive Management,15+ Years,772400,57.0
1.021,At Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,White,Male,Generation Z (1997 and onwards),False,True,Referral,False,False,Development,P2,IT - Product Development - P2 Business Analytics,1.844,New York,Individual Contributor,AMER,IT - Product Development,01-02 Years,68900,25.0
0.981,At Compa-Ratio,Global Support - Asia/Pac,South Korea,5 - Outstanding Performance,Asian,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Development,P3,IT - Product Development - P3 Data Scientist,2.192,Seoul,Individual Contributor,APAC,IT - Product Development,02-05 Years,53200,33.0
1.342,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,Asian,Male,Generation X (1965-1980),False,True,Linkedin,False,False,Executive,P5,Executive Management - Principal Operations Executive,18.518,Toronto,Executive Vice President,AMER,Executive Management,15+ Years,204600,45.0
1.29,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,3 - Meets Expectations,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Finance,P3,FA - Accounting - P3 Accounting Settlement Specialist,1.416,Seoul,Individual Contributor,APAC,FA - Accounting,01-02 Years,70000,32.0
1.153,Above Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,2.91,Paris,Individual Contributor,EMEA,Sales - Direct Sales,02-05 Years,71500,29.0
0.858,Below Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,American Indian or Alaska Native,Female,Generation Z (1997 and onwards),True,False,Referral,False,False,Development,P2,IT - Product Development - P2 Business Analytics,3.148,San Francisco,Individual Contributor,AMER,IT - Product Development,02-05 Years,57900,26.0
0.965,At Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,Asian,Male,Generation Z (1997 and onwards),False,False,Referral,False,False,Sales,P2,Sales - Inside Sales - P2 Inside Sales Representative,1.852,Singapore,Individual Contributor,APAC,Sales - Inside Sales,01-02 Years,45600,26.0
1.418,Above Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Finance,P3,FA - Accounting - P3 Accounting Settlement Specialist,0.712,Paris,Individual Contributor,EMEA,FA - Accounting,00-01 Years,87900,31.0
1.241,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Services,P4,Legal - Corporate - Senior Legal Consultant,0.148,Toronto,Individual Contributor,AMER,Legal - Corporate,00-01 Years,136500,33.0
1.265,Above Compa-Ratio,EMEA - France,France,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Development,P3,IT - Product Development - P3 Software Engineer,8.885,Paris,Individual Contributor,EMEA,IT - Product Development,05-10 Years,78400,33.0
1.092,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,0.838,Toronto,Individual Contributor,AMER,Sales - Inside Sales,00-01 Years,84600,30.0
0.755,Below Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,True,Sales,M2,Sales - Management - Associate Manager,17.537,Edmonton,Manager,AMER,Sales - Management,15+ Years,130300,39.0
1.395,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,White,Female,Generation X (1965-1980),False,False,Referral,True,True,Executive,M8,Executive Management - Executive Vice President,34.978,San Francisco,Executive Vice President,AMER,Executive Management,15+ Years,592900,56.0
1.568,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Executive,P5,Board Management - Principal Board Associate,7.97,Toulouse,Vice President,EMEA,Board Management,05-10 Years,191300,41.0
1.192,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,5 - Outstanding Performance,Asian,Female,Generation X (1965-1980),True,False,Internal,False,False,Sales,P5,Sales - Direct Sales - Principal Direct Sales Representative,15.953,London,Individual Contributor,EMEA,Sales - Direct Sales,15+ Years,145400,52.0
1.235,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,1 - Unsatisfactory,White,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Development,P4,IT - Product Development - Senior Business Analytics,6.69,London,Individual Contributor,EMEA,IT - Product Development,05-10 Years,108700,34.0
0.975,At Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,American Indian or Alaska Native,Male,Generation Y/Millenials (1981-1996),False,True,Internal,False,False,Development,P2,IT - Product Development - P2 Business Analytics,5.605,New York,Individual Contributor,AMER,IT - Product Development,05-10 Years,65800,28.0
1.115,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Services,P3,Legal - Corporate - P3 Legal Associate Consultant,5.041,San Francisco,Individual Contributor,AMER,Legal - Corporate,05-10 Years,86400,34.0
1.288,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,2 - Needs Improvement,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Development,P3,IT - Product Development - P3 Business Analytics,11.493,Busan,Manager,APAC,IT - Product Development,10-15 Years,69900,33.0
1.004,At Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Referral,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,5.833,San Francisco,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,77800,31.0
1.146,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,True,Development,M4,IT - Product Management - Senior Manager,12.405,New York,Manager,AMER,IT - Product Management,10-15 Years,226300,41.0
0.683,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,Asian,Female,Generation Z (1997 and onwards),False,True,Recruiter,False,False,Development,P1,IT - Product Development - P1 Business Analytics,0.548,Singapore,Individual Contributor,APAC,IT - Product Development,00-01 Years,26300,22.0
1.255,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,6.638,New York,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,138000,35.0
0.83,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,4 - Exceeds Expectations,Asian,Female,Generation X (1965-1980),False,False,Referral,False,True,Sales,M3,Sales - Management - Manager,8.751,Singapore,Manager,APAC,Sales - Management,05-10 Years,106000,49.0
1.241,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,White,Male,Generation X (1965-1980),False,False,Corporate Website,False,False,Development,P5,IT - Product Development - Principal QA,4.515,New York,Individual Contributor,AMER,IT - Product Development,02-05 Years,189300,45.0
1.385,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Finance,P3,FA - Accounting - P3 Finance Analyst,4.427,Paris,Individual Contributor,EMEA,FA - Accounting,02-05 Years,85900,29.0
0.885,Below Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,White,Male,Generation Z (1997 and onwards),False,False,Linkedin,False,False,Development,P2,IT - Product Development - P2 QA,3.784,Marseille,Individual Contributor,EMEA,IT - Product Development,02-05 Years,47800,26.0
0.963,At Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,4.712,Toronto,Individual Contributor,AMER,Sales - Direct Sales,02-05 Years,65000,27.0
1.161,Above Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P3,IT - Product Development - P3 Software Engineer,5.384,Paris,Individual Contributor,EMEA,IT - Product Development,05-10 Years,72000,34.0
1.289,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Internal,False,True,Executive,M7,Executive Management - Vice President,10.844,San Francisco,Vice President,AMER,Executive Management,10-15 Years,457600,39.0
1.565,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,White,Female,Generation X (1965-1980),False,True,Recruiter,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,14.855,Calgary,Individual Contributor,AMER,Sales - Inside Sales,10-15 Years,238600,43.0
0.731,Below Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,Asian,Female,Generation Z (1997 and onwards),True,False,Recruiter,False,False,Development,P1,IT - Product Development - P1 Data Scientist,0.096,Toronto,Individual Contributor,AMER,IT - Product Development,00-01 Years,40200,21.0
0.953,At Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Services,P2,Legal - Corporate - P2 Legal Consultant,2.693,Calgary,Individual Contributor,AMER,Legal - Corporate,02-05 Years,64300,27.0
0.998,At Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,5.14,Marseille,Individual Contributor,EMEA,Sales - Direct Sales,05-10 Years,53900,28.0
1.364,Above Compa-Ratio,AMER - United States of America,United States of America,2 - Needs Improvement,Black or African American,Male,Generation Y/Millenials (1981-1996),False,True,Internal,False,False,Development,P4,IT - Product Development - Senior Business Analytics,8.748,New York,Individual Contributor,AMER,IT - Product Development,05-10 Years,150000,35.0
